ms,UTC_timestamp,latitude,longitude,altitude,temperature,pressure
10000,2026-1-19T19:26:08+00:00,,,,13.88,100875.146
20000,2026-1-19T19:26:18+00:00,,,,14.6,100885.201
30000,2026-1-19T19:26:28+00:00,,,,14.17,100879.112
40000,2026-1-19T19:26:38+00:00,,,,14.29,100879.41
50000,2026-1-19T19:26:48+00:00,,,,14.37,100876.162
60000,2026-1-19T19:26:58+00:00,,,,14.42,100879.19
70000,2026-1-19T19:27:08+00:00,,,,14.47,100877.193
80000,2026-1-19T19:27:18+00:00,,,,14.46,100875.195
90000,2026-1-19T19:27:28+00:00,,,,14.51,100879.130
100000,2026-1-19T19:27:38+00:00,,,,14.53,100879.188
110000,2026-1-19T19:27:48+00:00,,,,14.57,100876.24
120000,2026-1-19T19:27:58+00:00,,,,14.58,100877.61
130000,2026-1-19T19:28:08+00:00,,,,14.56,100875.230
140000,2026-1-19T19:28:18+00:00,,,,14.53,100875.250
150000,2026-1-19T19:28:28+00:00,,,,14.31,100876.157
160000,2026-1-19T19:28:38+00:00,,,,14.25,100876.109
170000,2026-1-19T19:28:48+00:00,,,,14.17,100879.238
180000,2026-1-19T19:28:58+00:00,,,,14.13,100879.172
190000,2026-1-19T19:29:08+00:00,,,,14.6,100881.55
200000,2026-1-19T19:29:18+00:00,,,,13.95,100879.58
210000,2026-1-19T19:29:28+00:00,,,,13.95,100876.73
220000,2026-1-19T19:29:38+00:00,,,,13.93,100877.60
230000,2026-1-19T19:29:48+00:00,,,,13.89,100879.99
240000,2026-1-19T19:29:58+00:00,,,,13.77,100883.185
250000,2026-1-19T19:30:08+00:00,,,,13.60,100878.158
260000,2026-1-19T19:30:18+00:00,,,,13.57,100882.153
270000,2026-1-19T19:30:28+00:00,,,,13.49,100885.233
280000,2026-1-19T19:30:38+00:00,,,,13.27,100893.243
290000,2026-1-19T19:30:48+00:00,,,,13.3,100881.139
300000,2026-1-19T19:30:58+00:00,,,,12.90,100881.50
310000,2026-1-19T19:31:08+00:00,,,,12.85,100883.209
320000,2026-1-19T19:31:18+00:00,,,,12.86,100893.246
330000,2026-1-19T19:31:28+00:00,,,,12.62,100892.187
340000,2026-1-19T19:31:38+00:00,,,,12.62,100890.74
350000,2026-1-19T19:31:48+00:00,,,,12.59,100894.229
360000,2026-1-19T19:31:58+00:00,,,,12.41,100894.102
370000,2026-1-19T19:32:08+00:00,,,,12.41,100888.179
380000,2026-1-19T19:32:18+00:00,,,,12.34,100894.115
390000,2026-1-19T19:32:28+00:00,,,,12.15,100894.214
400000,2026-1-19T19:32:38+00:00,,,,12.15,100895.125
410000,2026-1-19T19:32:48+00:00,,,,12.15,100892.100
420000,2026-1-19T19:32:58+00:00,,,,12.14,100897.101
430000,2026-1-19T19:33:08+00:00,,,,12.8,100899.204
440000,2026-1-19T19:33:18+00:00,,,,12.6,100898.64
450000,2026-1-19T19:33:28+00:00,,,,12.0,100902.51
460000,2026-1-19T19:33:38+00:00,,,,11.97,100897.185
470000,2026-1-19T19:33:48+00:00,,,,11.90,100900.10
480000,2026-1-19T19:33:58+00:00,,,,11.79,100898.71
490000,2026-1-19T19:34:08+00:00,,,,11.70,100897.240
500000,2026-1-19T19:34:18+00:00,,,,11.55,100900.227
510000,2026-1-19T19:34:28+00:00,,,,11.48,100900.141
520000,2026-1-19T19:34:38+00:00,,,,11.31,100903.27
530000,2026-1-19T19:34:48+00:00,,,,11.23,100899.253
540000,2026-1-19T19:34:58+00:00,,,,11.16,100897.72
550000,2026-1-19T19:35:08+00:00,,,,11.7,100893.202
560000,2026-1-19T19:35:18+00:00,,,,11.4,100895.116
570000,2026-1-19T19:35:28+00:00,,,,10.93,100902.234
580000,2026-1-19T19:35:38+00:00,,,,10.70,100906.240
590000,2026-1-19T19:35:48+00:00,,,,10.64,100908.237
600000,2026-1-19T19:35:58+00:00,,,,10.63,100908.60
610000,2026-1-19T19:36:08+00:00,,,,10.58,100905.104
620000,2026-1-19T19:36:18+00:00,,,,10.39,100906.76
630000,2026-1-19T19:36:28+00:00,,,,10.26,100911.58
640000,2026-1-19T19:36:38+00:00,,,,10.23,100911.229
650000,2026-1-19T19:36:48+00:00,,,,10.10,100908.5
660000,2026-1-19T19:36:58+00:00,,,,9.96,100907.214
670000,2026-1-19T19:37:08+00:00,,,,9.95,100908.70
680000,2026-1-19T19:37:18+00:00,,,,9.99,100910.63
690000,2026-1-19T19:37:28+00:00,,,,9.96,100907.253
700000,2026-1-19T19:37:38+00:00,,,,9.90,100920.213
710000,2026-1-19T19:37:48+00:00,,,,9.91,100912.115
720000,2026-1-19T19:37:58+00:00,,,,9.89,100908.74
730000,2026-1-19T19:38:08+00:00,,,,9.79,100917.52
740000,2026-1-19T19:38:18+00:00,,,,9.68,100916.41
750000,2026-1-19T19:38:28+00:00,,,,9.62,100916.89
760000,2026-1-19T19:38:38+00:00,,,,9.50,100913.255
770000,2026-1-19T19:38:48+00:00,,,,9.38,100916.43
780000,2026-1-19T19:38:58+00:00,,,,9.39,100915.136
790000,2026-1-19T19:39:08+00:00,,,,9.37,100914.240
800000,2026-1-19T19:39:18+00:00,,,,9.37,100917.178
810000,2026-1-19T19:39:28+00:00,,,,9.32,100919.233
820000,2026-1-19T19:39:38+00:00,,,,9.21,100918.177
830000,2026-1-19T19:39:48+00:00,,,,9.23,100917.253
840000,2026-1-19T19:39:58+00:00,,,,9.23,100916.174
850000,2026-1-19T19:40:08+00:00,,,,9.22,100919.15
860000,2026-1-19T19:40:18+00:00,,,,9.11,100915.32
870000,2026-1-19T19:40:28+00:00,,,,9.8,100915.229
880000,2026-1-19T19:40:38+00:00,,,,9.7,100915.132
890000,2026-1-19T19:40:48+00:00,,,,9.5,100917.49
900000,2026-1-19T19:40:58+00:00,,,,9.0,100920.220
910000,2026-1-19T19:41:08+00:00,,,,8.99,100921.157
920000,2026-1-19T19:41:18+00:00,,,,8.92,100922.136
930000,2026-1-19T19:41:28+00:00,,,,8.87,100925.173
940000,2026-1-19T19:41:38+00:00,,,,8.79,100923.154
950000,2026-1-19T19:41:48+00:00,,,,8.80,100925.237
960000,2026-1-19T19:41:58+00:00,,,,8.71,100925.153
970000,2026-1-19T19:42:08+00:00,,,,8.65,100920.148
980000,2026-1-19T19:42:18+00:00,,,,8.56,100924.33
990000,2026-1-19T19:42:28+00:00,,,,8.52,100921.218
1000000,2026-1-19T19:42:38+00:00,,,,8.51,100926.123
1010000,2026-1-19T19:42:48+00:00,,,,8.42,100925.213
1020000,2026-1-19T19:42:58+00:00,,,,8.45,100924.94
1030000,2026-1-19T19:43:08+00:00,,,,8.41,100923.48
1040000,2026-1-19T19:43:18+00:00,,,,8.42,100922.149
1050000,2026-1-19T19:43:28+00:00,,,,8.41,100927.181
1060000,2026-1-19T19:43:38+00:00,,,,8.32,100928.4
1070000,2026-1-19T19:43:48+00:00,,,,8.30,100930.55
1080000,2026-1-19T19:43:58+00:00,,,,8.31,100935.62
1090000,2026-1-19T19:44:08+00:00,,,,8.21,100930.88
1100000,2026-1-19T19:44:18+00:00,,,,8.7,100932.38
1110000,2026-1-19T19:44:28+00:00,,,,8.5,100933.156
1120000,2026-1-19T19:44:38+00:00,,,,8.7,100925.38
1130000,2026-1-19T19:44:48+00:00,,,,8.9,100922.184
1140000,2026-1-19T19:44:58+00:00,,,,8.10,100934.224
1150000,2026-1-19T19:45:08+00:00,,,,8.0,100929.249
1160000,2026-1-19T19:45:18+00:00,,,,8.1,100931.112
1170000,2026-1-19T19:45:28+00:00,,,,8.0,100933.165
1180000,2026-1-19T19:45:38+00:00,,,,7.96,100940.94
1190000,2026-1-19T19:45:48+00:00,,,,7.95,100934.178
1200000,2026-1-19T19:45:58+00:00,,,,7.88,100934.34
1210000,2026-1-19T19:46:08+00:00,,,,7.88,100936.223
1220000,2026-1-19T19:46:18+00:00,,,,7.84,100932.156
1230000,2026-1-19T19:46:28+00:00,,,,7.84,100935.88
1240000,2026-1-19T19:46:38+00:00,,,,7.78,100937.67
1250000,2026-1-19T19:46:48+00:00,,,,7.69,100941.150
1260000,2026-1-19T19:46:58+00:00,,,,7.56,100941.116
1270000,2026-1-19T19:47:08+00:00,,,,7.52,100938.161
1280000,2026-1-19T19:47:18+00:00,,,,7.45,100940.10
1290000,2026-1-19T19:47:28+00:00,,,,7.48,100940.139
1300000,2026-1-19T19:47:38+00:00,,,,7.50,100940.32
1310000,2026-1-19T19:47:48+00:00,,,,7.49,100943.213
1320000,2026-1-19T19:47:58+00:00,,,,7.40,100943.158
1330000,2026-1-19T19:48:08+00:00,,,,7.31,100940.247
1340000,2026-1-19T19:48:18+00:00,,,,7.31,100945.179
1350000,2026-1-19T19:48:28+00:00,,,,7.32,100940.150
1360000,2026-1-19T19:48:38+00:00,,,,7.35,100940.184
1370000,2026-1-19T19:48:48+00:00,,,,7.36,100942.143
1380000,2026-1-19T19:48:58+00:00,,,,7.36,100943.15
1390000,2026-1-19T19:49:08+00:00,,,,7.36,100941.109
1400000,2026-1-19T19:49:18+00:00,,,,7.37,100940.132
1410000,2026-1-19T19:49:28+00:00,,,,7.34,100943.116
1420000,2026-1-19T19:49:38+00:00,,,,7.33,100949.166
1430000,2026-1-19T19:49:48+00:00,,,,7.21,100948.0
1440000,2026-1-19T19:49:58+00:00,,,,7.17,100946.239
1450000,2026-1-19T19:50:08+00:00,,,,7.6,100949.171
1460000,2026-1-19T19:50:18+00:00,,,,6.98,100949.96
1470000,2026-1-19T19:50:28+00:00,,,,6.96,100949.176
1480000,2026-1-19T19:50:38+00:00,,,,6.99,100954.113
1490000,2026-1-19T19:50:48+00:00,,,,7.2,100951.60
1500000,2026-1-19T19:50:58+00:00,,,,7.1,100952.24
1510000,2026-1-19T19:51:08+00:00,,,,7.1,100953.194
1520000,2026-1-19T19:51:18+00:00,,,,7.5,100950.103
1530000,2026-1-19T19:51:28+00:00,,,,7.5,100951.177
1540000,2026-1-19T19:51:38+00:00,,,,7.5,100948.77
1550000,2026-1-19T19:51:48+00:00,,,,6.98,100951.120
1560000,2026-1-19T19:51:58+00:00,,,,6.98,100955.7
1570000,2026-1-19T19:52:08+00:00,,,,6.88,100953.67
1580000,2026-1-19T19:52:18+00:00,,,,6.85,100953.65
1590000,2026-1-19T19:52:28+00:00,,,,6.87,100946.194
1600000,2026-1-19T19:52:38+00:00,,,,6.83,100952.37
1610000,2026-1-19T19:52:48+00:00,,,,6.74,100948.21
1620000,2026-1-19T19:52:58+00:00,,,,6.60,100947.122
1630000,2026-1-19T19:53:08+00:00,,,,6.58,100955.145
1640000,2026-1-19T19:53:18+00:00,,,,6.52,100954.150
1650000,2026-1-19T19:53:28+00:00,,,,6.53,100954.154
1660000,2026-1-19T19:53:38+00:00,,,,6.48,100952.19
1670000,2026-1-19T19:53:48+00:00,,,,6.53,100952.6
1680000,2026-1-19T19:53:58+00:00,,,,6.49,100951.73
1690000,2026-1-19T19:54:08+00:00,,,,6.43,100956.111
1700000,2026-1-19T19:54:18+00:00,,,,6.40,100955.153
1710000,2026-1-19T19:54:28+00:00,,,,6.42,100952.251
1720000,2026-1-19T19:54:38+00:00,,,,6.47,100954.56
1730000,2026-1-19T19:54:48+00:00,,,,6.49,100959.226
1740000,2026-1-19T19:54:58+00:00,,,,6.38,100962.104
1750000,2026-1-19T19:55:08+00:00,,,,6.37,100963.162
1760000,2026-1-19T19:55:18+00:00,,,,6.30,100961.104
1770000,2026-1-19T19:55:28+00:00,,,,6.28,100961.38
1780000,2026-1-19T19:55:38+00:00,,,,6.32,100961.216
1790000,2026-1-19T19:55:48+00:00,,,,6.35,100955.109
1800000,2026-1-19T19:55:58+00:00,,,,6.28,100956.204
1810000,2026-1-19T19:56:08+00:00,,,,6.27,100956.229
1820000,2026-1-19T19:56:18+00:00,,,,6.25,100956.59
1830000,2026-1-19T19:56:28+00:00,,,,6.26,100956.200
1840000,2026-1-19T19:56:38+00:00,,,,6.24,100962.241
1850000,2026-1-19T19:56:48+00:00,,,,6.21,100956.88
1860000,2026-1-19T19:56:58+00:00,,,,6.22,100955.154
1870000,2026-1-19T19:57:08+00:00,,,,6.22,100961.216
1880000,2026-1-19T19:57:18+00:00,,,,6.18,100960.199
1890000,2026-1-19T19:57:28+00:00,,,,6.12,100963.4
1900000,2026-1-19T19:57:38+00:00,,,,6.10,100959.4
1910000,2026-1-19T19:57:48+00:00,,,,6.13,100960.165
1920000,2026-1-19T19:57:58+00:00,,,,6.9,100955.17
1930000,2026-1-19T19:58:08+00:00,,,,6.7,100960.234
1940000,2026-1-19T19:58:18+00:00,,,,6.4,100958.197
1950000,2026-1-19T19:58:28+00:00,,,,5.95,100955.72
1960000,2026-1-19T19:58:38+00:00,,,,5.95,100956.145
1970000,2026-1-19T19:58:48+00:00,,,,5.94,100958.236
1980000,2026-1-19T19:58:58+00:00,,,,5.91,100962.192
1990000,2026-1-19T19:59:08+00:00,,,,5.90,100962.23
2000000,2026-1-19T19:59:18+00:00,,,,5.91,100962.164
2010000,2026-1-19T19:59:28+00:00,,,,5.90,100961.101
2020000,2026-1-19T19:59:38+00:00,,,,5.82,100964.242
2030000,2026-1-19T19:59:48+00:00,,,,5.79,100960.56
2040000,2026-1-19T19:59:58+00:00,,,,5.76,100959.128
2050000,2026-1-19T20:00:08+00:00,,,,5.79,100960.97
2060000,2026-1-19T20:00:18+00:00,,,,5.82,100960.24
2070000,2026-1-19T20:00:28+00:00,,,,5.80,100957.185
2080000,2026-1-19T20:00:38+00:00,,,,5.82,100958.128
2090000,2026-1-19T20:00:48+00:00,,,,5.81,100956.165
2100000,2026-1-19T20:00:58+00:00,,,,5.78,100960.125
2110000,2026-1-19T20:01:08+00:00,,,,5.74,100960.168
2120000,2026-1-19T20:01:18+00:00,,,,5.77,100962.79
2130000,2026-1-19T20:01:28+00:00,,,,5.74,100957.193
2140000,2026-1-19T20:01:38+00:00,,,,5.76,100957.228
2150000,2026-1-19T20:01:48+00:00,,,,5.77,100957.92
2160000,2026-1-19T20:01:58+00:00,,,,5.79,100959.229
2170000,2026-1-19T20:02:08+00:00,,,,5.77,100962.79
2180000,2026-1-19T20:02:18+00:00,,,,5.76,100964.3
2190000,2026-1-19T20:02:28+00:00,,,,5.76,100960.161
2200000,2026-1-19T20:02:38+00:00,,,,5.76,100960.83
2210000,2026-1-19T20:02:48+00:00,,,,5.75,100959.29
2220000,2026-1-19T20:02:58+00:00,,,,5.70,100960.183
2230000,2026-1-19T20:03:08+00:00,,,,5.69,100960.137
2240000,2026-1-19T20:03:18+00:00,,,,5.70,100961.14
2250000,2026-1-19T20:03:28+00:00,,,,5.70,100962.248
2260000,2026-1-19T20:03:38+00:00,,,,5.73,100964.246
2270000,2026-1-19T20:03:48+00:00,,,,5.70,100956.221
2280000,2026-1-19T20:03:58+00:00,,,,5.69,100956.171
2290000,2026-1-19T20:04:08+00:00,,,,5.68,100963.123
2300000,2026-1-19T20:04:18+00:00,,,,5.67,100962.197
2310000,2026-1-19T20:04:28+00:00,,,,5.67,100955.239
2320000,2026-1-19T20:04:38+00:00,,,,5.67,100956.13
2330000,2026-1-19T20:04:47+00:00,,,,5.67,100964.97
2340000,2026-1-19T20:04:57+00:00,,,,5.59,100961.68
2350000,2026-1-19T20:05:07+00:00,,,,5.55,100957.240
2360000,2026-1-19T20:05:17+00:00,,,,5.46,100963.123
2370000,2026-1-19T20:05:27+00:00,,,,5.42,100962.215
2380000,2026-1-19T20:05:37+00:00,,,,5.39,100961.56
2390000,2026-1-19T20:05:47+00:00,,,,5.35,100958.181
2400000,2026-1-19T20:05:57+00:00,,,,5.37,100958.133
2410000,2026-1-19T20:06:07+00:00,,,,5.39,100960.27
2420000,2026-1-19T20:06:17+00:00,,,,5.38,100963.62
2430000,2026-1-19T20:06:27+00:00,,,,5.31,100960.12
2440000,2026-1-19T20:06:37+00:00,,,,5.27,100965.141
2450000,2026-1-19T20:06:47+00:00,,,,5.27,100962.171
2460000,2026-1-19T20:06:57+00:00,,,,5.27,100959.69
2470000,2026-1-19T20:07:07+00:00,,,,5.26,100956.37
2480000,2026-1-19T20:07:17+00:00,,,,5.25,100959.117
2490000,2026-1-19T20:07:27+00:00,,,,5.25,100960.150
2500000,2026-1-19T20:07:37+00:00,,,,5.26,100965.205
2510000,2026-1-19T20:07:47+00:00,,,,5.19,100967.202
2520000,2026-1-19T20:07:57+00:00,,,,5.18,100969.43
2530000,2026-1-19T20:08:07+00:00,,,,5.13,100968.239
2540000,2026-1-19T20:08:17+00:00,,,,5.13,100969.243
2550000,2026-1-19T20:08:27+00:00,,,,5.15,100966.85
2560000,2026-1-19T20:08:37+00:00,,,,5.15,100962.38
2570000,2026-1-19T20:08:47+00:00,,,,5.10,100962.211
2580000,2026-1-19T20:08:57+00:00,,,,5.9,100968.140
2590000,2026-1-19T20:09:07+00:00,,,,5.0,100963.106
2600000,2026-1-19T20:09:17+00:00,,,,5.3,100965.178
2610000,2026-1-19T20:09:27+00:00,,,,5.3,100965.101
2620000,2026-1-19T20:09:37+00:00,,,,5.4,100960.121
2630000,2026-1-19T20:09:47+00:00,,,,5.2,100966.115
2640000,2026-1-19T20:09:57+00:00,,,,5.1,100964.238
2650000,2026-1-19T20:10:07+00:00,,,,5.2,100966.74
2660000,2026-1-19T20:10:17+00:00,,,,4.98,100963.194
2670000,2026-1-19T20:10:27+00:00,,,,4.99,100973.243
2680000,2026-1-19T20:10:37+00:00,,,,5.0,100965.43
2690000,2026-1-19T20:10:47+00:00,,,,4.99,100962.138
2700000,2026-1-19T20:10:57+00:00,,,,4.97,100973.1
2710000,2026-1-19T20:11:07+00:00,,,,4.94,100966.146
2720000,2026-1-19T20:11:17+00:00,,,,4.95,100967.64
2730000,2026-1-19T20:11:27+00:00,,,,4.91,100967.1
2740000,2026-1-19T20:11:37+00:00,,,,4.87,100968.237
2750000,2026-1-19T20:11:47+00:00,,,,4.88,100963.148
2760000,2026-1-19T20:11:57+00:00,,,,4.90,100971.58
2770000,2026-1-19T20:12:07+00:00,,,,4.90,100967.190
2780000,2026-1-19T20:12:17+00:00,,,,4.86,100965.246
2790000,2026-1-19T20:12:27+00:00,,,,4.80,100965.233
2800000,2026-1-19T20:12:37+00:00,,,,4.80,100969.184
2810000,2026-1-19T20:12:47+00:00,,,,4.80,100967.202
2820000,2026-1-19T20:12:57+00:00,,,,4.81,100967.150
2830000,2026-1-19T20:13:07+00:00,,,,4.80,100969.157
2840000,2026-1-19T20:13:17+00:00,,,,4.83,100967.228
2850000,2026-1-19T20:13:27+00:00,,,,4.81,100965.209
2860000,2026-1-19T20:13:37+00:00,,,,4.82,100965.145
2870000,2026-1-19T20:13:47+00:00,,,,4.82,100972.43
2880000,2026-1-19T20:13:57+00:00,,,,4.78,100974.153
2890000,2026-1-19T20:14:07+00:00,,,,4.76,100972.176
2900000,2026-1-19T20:14:17+00:00,,,,4.69,100975.106
2910000,2026-1-19T20:14:27+00:00,,,,4.68,100979.56
2920000,2026-1-19T20:14:37+00:00,,,,4.67,100976.60
2930000,2026-1-19T20:14:47+00:00,,,,4.71,100978.73
2940000,2026-1-19T20:14:57+00:00,,,,4.73,100980.180
2950000,2026-1-19T20:15:07+00:00,,,,4.74,100977.55
2960000,2026-1-19T20:15:17+00:00,,,,4.71,100974.114
2970000,2026-1-19T20:15:27+00:00,,,,4.72,100975.77
2980000,2026-1-19T20:15:37+00:00,,,,4.73,100976.215
2990000,2026-1-19T20:15:47+00:00,,,,4.72,100976.110
3000000,2026-1-19T20:15:57+00:00,,,,4.69,100974.238
3010000,2026-1-19T20:16:07+00:00,,,,4.69,100973.251
3020000,2026-1-19T20:16:17+00:00,,,,4.64,100976.170
3030000,2026-1-19T20:16:27+00:00,,,,4.66,100976.165
3040000,2026-1-19T20:16:37+00:00,,,,4.60,100972.215
3050000,2026-1-19T20:16:47+00:00,,,,4.60,100979.248
3060000,2026-1-19T20:16:57+00:00,,,,4.60,100972.187
3070000,2026-1-19T20:17:07+00:00,,,,4.61,100972.123
3080000,2026-1-19T20:17:17+00:00,,,,4.61,100977.120
3090000,2026-1-19T20:17:27+00:00,,,,4.63,100979.42
3100000,2026-1-19T20:17:37+00:00,,,,4.63,100976.83
3110000,2026-1-19T20:17:47+00:00,,,,4.60,100971.142
3120000,2026-1-19T20:17:57+00:00,,,,4.53,100970.64
3130000,2026-1-19T20:18:07+00:00,,,,4.54,100974.170
3140000,2026-1-19T20:18:17+00:00,,,,4.48,100977.128
3150000,2026-1-19T20:18:27+00:00,,,,4.45,100971.127
3160000,2026-1-19T20:18:37+00:00,,,,4.47,100972.114
3170000,2026-1-19T20:18:47+00:00,,,,4.49,100970.250
3180000,2026-1-19T20:18:57+00:00,,,,4.50,100976.215
3190000,2026-1-19T20:19:07+00:00,,,,4.48,100974.73
3200000,2026-1-19T20:19:17+00:00,,,,4.46,100978.201
3210000,2026-1-19T20:19:27+00:00,,,,4.41,100976.3
3220000,2026-1-19T20:19:37+00:00,,,,4.42,100975.73
3230000,2026-1-19T20:19:47+00:00,,,,4.41,100977.242
3240000,2026-1-19T20:19:57+00:00,,,,4.40,100979.251
3250000,2026-1-19T20:20:07+00:00,,,,4.39,100976.54
3260000,2026-1-19T20:20:17+00:00,,,,4.38,100975.168
3270000,2026-1-19T20:20:27+00:00,,,,4.35,100973.7
3280000,2026-1-19T20:20:37+00:00,,,,4.38,100974.254
3290000,2026-1-19T20:20:47+00:00,,,,4.38,100973.21
3300000,2026-1-19T20:20:57+00:00,,,,4.36,100975.126
3310000,2026-1-19T20:21:07+00:00,,,,4.36,100974.12
3320000,2026-1-19T20:21:17+00:00,,,,4.37,100974.158
3330000,2026-1-19T20:21:27+00:00,,,,4.36,100968.152
3340000,2026-1-19T20:21:37+00:00,,,,4.39,100974.30
3350000,2026-1-19T20:21:47+00:00,,,,4.38,100974.49
3360000,2026-1-19T20:21:57+00:00,,,,4.36,100970.52
3370000,2026-1-19T20:22:07+00:00,,,,4.37,100970.30
3380000,2026-1-19T20:22:17+00:00,,,,4.39,100972.168
3390000,2026-1-19T20:22:27+00:00,,,,4.41,100972.86
3400000,2026-1-19T20:22:37+00:00,,,,4.41,100971.218
3410000,2026-1-19T20:22:47+00:00,,,,4.42,100973.8
3420000,2026-1-19T20:22:57+00:00,,,,4.40,100971.112
3430000,2026-1-19T20:23:07+00:00,,,,4.37,100971.99
3440000,2026-1-19T20:23:17+00:00,,,,4.35,100970.199
3450000,2026-1-19T20:23:27+00:00,,,,4.34,100968.194
3460000,2026-1-19T20:23:37+00:00,,,,4.33,100966.105
3470000,2026-1-19T20:23:47+00:00,,,,4.32,100967.242
3480000,2026-1-19T20:23:57+00:00,,,,4.30,100968.161
3490000,2026-1-19T20:24:07+00:00,,,,4.31,100970.33
3500000,2026-1-19T20:24:17+00:00,,,,4.27,100962.72
3510000,2026-1-19T20:24:27+00:00,,,,4.25,100967.31
3520000,2026-1-19T20:24:37+00:00,,,,4.17,100964.5
3530000,2026-1-19T20:24:47+00:00,,,,4.16,100961.0
3540000,2026-1-19T20:24:57+00:00,,,,4.19,100963.161
3550000,2026-1-19T20:25:07+00:00,,,,4.21,100959.70
3560000,2026-1-19T20:25:17+00:00,,,,4.22,100965.244
3570000,2026-1-19T20:25:27+00:00,,,,4.23,100959.236
3580000,2026-1-19T20:25:37+00:00,,,,4.24,100962.17
3590000,2026-1-19T20:25:47+00:00,,,,4.24,100965.195
3600000,2026-1-19T20:25:57+00:00,,,,4.23,100960.222
3610000,2026-1-19T20:26:07+00:00,,,,4.22,100964.2
3620000,2026-1-19T20:26:17+00:00,,,,4.20,100961.202
3630000,2026-1-19T20:26:27+00:00,,,,4.17,100963.165
3640000,2026-1-19T20:26:37+00:00,,,,4.16,100961.136
3650000,2026-1-19T20:26:47+00:00,,,,4.17,100959.174
3660000,2026-1-19T20:26:57+00:00,,,,4.17,100958.252
3670000,2026-1-19T20:27:07+00:00,,,,4.17,100957.55
3680000,2026-1-19T20:27:17+00:00,,,,4.18,100959.138
3690000,2026-1-19T20:27:27+00:00,,,,4.19,100959.128
3700000,2026-1-19T20:27:37+00:00,,,,4.21,100962.166
3710000,2026-1-19T20:27:47+00:00,,,,4.19,100960.24
3720000,2026-1-19T20:27:57+00:00,,,,4.21,100961.52
3730000,2026-1-19T20:28:07+00:00,,,,4.21,100961.139
3740000,2026-1-19T20:28:17+00:00,,,,4.22,100962.66
3750000,2026-1-19T20:28:27+00:00,,,,4.19,100962.212
3760000,2026-1-19T20:28:37+00:00,,,,4.15,100962.68
3770000,2026-1-19T20:28:47+00:00,,,,4.17,100963.179
3780000,2026-1-19T20:28:57+00:00,,,,4.16,100960.50
3790000,2026-1-19T20:29:07+00:00,,,,4.17,100960.151
3800000,2026-1-19T20:29:17+00:00,,,,4.18,100962.41
3810000,2026-1-19T20:29:27+00:00,,,,4.17,100960.110
3820000,2026-1-19T20:29:37+00:00,,,,4.17,100959.78
3830000,2026-1-19T20:29:47+00:00,,,,4.16,100963.77
3840000,2026-1-19T20:29:57+00:00,,,,4.15,100961.159
3850000,2026-1-19T20:30:07+00:00,,,,4.13,100963.214
3860000,2026-1-19T20:30:17+00:00,,,,4.13,100962.154
3870000,2026-1-19T20:30:27+00:00,,,,4.12,100964.35
3880000,2026-1-19T20:30:37+00:00,,,,4.12,100958.213
3890000,2026-1-19T20:30:47+00:00,,,,4.6,100961.73
3900000,2026-1-19T20:30:57+00:00,,,,4.3,100958.40
3910000,2026-1-19T20:31:07+00:00,,,,4.4,100952.36
3920000,2026-1-19T20:31:17+00:00,,,,4.6,100959.78
3930000,2026-1-19T20:31:27+00:00,,,,4.2,100958.231
3940000,2026-1-19T20:31:37+00:00,,,,4.3,100960.109
3950000,2026-1-19T20:31:47+00:00,,,,4.1,100958.89
3960000,2026-1-19T20:31:57+00:00,,,,4.3,100957.90
3970000,2026-1-19T20:32:07+00:00,,,,4.5,100957.127
3980000,2026-1-19T20:32:17+00:00,,,,4.6,100954.247
3990000,2026-1-19T20:32:27+00:00,,,,4.6,100955.46
4000000,2026-1-19T20:32:37+00:00,,,,4.0,100956.130
4010000,2026-1-19T20:32:47+00:00,,,,4.0,100955.99
4020000,2026-1-19T20:32:57+00:00,,,,4.3,100957.90
4030000,2026-1-19T20:33:07+00:00,,,,4.3,100955.196
4040000,2026-1-19T20:33:17+00:00,,,,4.2,100959.134
4050000,2026-1-19T20:33:27+00:00,,,,4.3,100960.21
4060000,2026-1-19T20:33:37+00:00,,,,4.4,100957.150
4070000,2026-1-19T20:33:47+00:00,,,,4.2,100953.113
4080000,2026-1-19T20:33:57+00:00,,,,4.4,100957.67
4090000,2026-1-19T20:34:07+00:00,,,,4.3,100953.44
4100000,2026-1-19T20:34:17+00:00,,,,4.3,100959.241
4110000,2026-1-19T20:34:27+00:00,,,,4.1,100959.75
4120000,2026-1-19T20:34:37+00:00,,,,4.3,100960.21
4130000,2026-1-19T20:34:47+00:00,,,,4.0,100962.157
4140000,2026-1-19T20:34:57+00:00,,,,3.97,100959.211
4150000,2026-1-19T20:35:07+00:00,,,,3.96,100963.67
4160000,2026-1-19T20:35:17+00:00,,,,3.97,100961.146
4170000,2026-1-19T20:35:27+00:00,,,,4.0,100965.83
4180000,2026-1-19T20:35:37+00:00,,,,4.1,100964.234
4190000,2026-1-19T20:35:47+00:00,,,,4.1,100967.89
4200000,2026-1-19T20:35:57+00:00,,,,4.2,100967.108
4210000,2026-1-19T20:36:07+00:00,,,,4.2,100965.79
4220000,2026-1-19T20:36:17+00:00,,,,4.0,100966.33
4230000,2026-1-19T20:36:27+00:00,,,,3.99,100971.10
4240000,2026-1-19T20:36:37+00:00,,,,3.95,100972.253
4250000,2026-1-19T20:36:47+00:00,,,,3.93,100966.153
4260000,2026-1-19T20:36:57+00:00,,,,3.96,100970.85
